X,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore,start_x,school
0,female,NA,bachelor's degree,standard,none,married,regularly,yes,3,school_bus,< 5,71,71,74,1,1
1,female,group C,some college,standard,NA,married,sometimes,yes,0,NA,10-May,69,90,88,0,1
2,female,group B,master's degree,standard,none,single,sometimes,yes,4,school_bus,< 5,87,93,91,0,1
3,male,group A,associate's degree,free/reduced,none,married,never,no,1,NA,10-May,45,56,42,0,1
4,male,group C,some college,standard,none,married,sometimes,yes,0,school_bus,10-May,76,78,75,0,1
5,female,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,10-May,73,84,79,0,1
6,female,group B,some college,standard,completed,widowed,never,no,1,private,10-May,85,93,89,0,1
7,male,group B,some college,free/reduced,none,married,sometimes,yes,1,private,> 10,41,43,39,0,1
8,male,group D,high school,free/reduced,completed,single,sometimes,no,3,private,> 10,65,64,68,0,1
9,female,group B,high school,free/reduced,none,married,regularly,yes,NA,private,< 5,37,59,50,0,1
10,male,group C,associate's degree,standard,none,NA,sometimes,yes,1,private,10-May,58,54,52,0,1
11,male,group D,associate's degree,standard,none,divorced,sometimes,yes,1,school_bus,10-May,40,52,43,0,1
12,female,group B,high school,standard,none,married,regularly,no,1,private,10-May,66,82,74,0,1
13,male,group A,some college,standard,completed,single,sometimes,yes,1,private,> 10,80,73,71,0,1
14,female,group A,master's degree,standard,none,divorced,sometimes,yes,2,private,< 5,48,53,58,0,1
15,female,group C,some high school,standard,none,married,sometimes,yes,0,private,NA,69,75,78,0,1
16,male,group C,high school,standard,NA,married,sometimes,yes,0,school_bus,10-May,88,89,86,0,1
17,female,group B,some high school,free/reduced,none,divorced,sometimes,yes,1,school_bus,10-May,18,32,28,0,1
18,male,group C,master's degree,free/reduced,completed,single,sometimes,no,1,private,10-May,46,42,47,0,1
19,female,group C,associate's degree,free/reduced,none,married,never,yes,3,private,< 5,50,56,58,0,1
20,male,group D,high school,standard,none,married,sometimes,yes,5,school_bus,10-May,66,69,63,0,1
21,female,group B,some college,free/reduced,completed,married,sometimes,no,2,school_bus,10-May,65,75,70,0,1
22,male,group D,NA,standard,none,married,never,yes,5,NA,10-May,42,53,51,0,1
23,female,group C,some high school,standard,none,divorced,never,no,3,NA,10-May,66,71,71,0,1
24,male,group D,NA,free/reduced,completed,married,sometimes,yes,2,school_bus,10-May,74,71,80,0,1
25,male,group A,master's degree,free/reduced,none,married,regularly,yes,1,school_bus,10-May,75,76,76,0,1
26,male,group B,some college,standard,none,married,sometimes,yes,5,school_bus,< 5,66,53,53,0,1
27,female,group C,bachelor's degree,standard,none,married,sometimes,yes,4,school_bus,> 10,69,70,76,0,1
28,male,group C,high school,standard,none,married,sometimes,no,1,private,10-May,70,70,65,0,1
30,female,group D,some college,standard,none,single,sometimes,yes,0,private,< 5,66,72,72,0,1
31,female,group B,some college,standard,none,single,sometimes,yes,5,NA,10-May,63,65,61,0,1
32,female,group E,master's degree,free/reduced,none,divorced,sometimes,yes,1,school_bus,10-May,56,73,66,0,1
33,male,NA,some college,standard,none,married,sometimes,no,2,private,10-May,40,42,38,0,1
34,male,group E,some college,standard,none,divorced,sometimes,yes,0,school_bus,NA,97,87,82,0,1
35,male,group E,associate's degree,standard,completed,single,sometimes,no,NA,school_bus,10-May,81,81,79,0,1
36,female,group D,associate's degree,standard,none,married,regularly,no,2,private,10-May,76,82,85,0,1
37,female,group D,some high school,free/reduced,none,married,regularly,yes,1,private,10-May,51,64,60,0,1
38,female,group D,associate's degree,free/reduced,completed,married,regularly,no,1,school_bus,10-May,77,91,90,0,1
39,male,group B,associate's degree,free/reduced,none,single,regularly,yes,5,school_bus,10-May,58,56,58,0,1
40,male,group C,associate's degree,free/reduced,none,married,never,yes,0,school_bus,10-May,53,60,52,0,1
41,female,group C,associate's degree,standard,none,divorced,regularly,no,1,NA,10-May,59,74,69,0,1
43,male,group B,some college,free/reduced,NA,married,regularly,yes,3,school_bus,10-May,60,65,67,0,1
44,female,group E,associate's degree,free/reduced,none,married,sometimes,yes,5,school_bus,< 5,48,55,52,0,1
45,male,group B,associate's degree,standard,none,single,sometimes,yes,3,school_bus,< 5,63,53,55,0,1
47,female,group C,high school,standard,none,married,regularly,yes,NA,private,10-May,67,72,77,0,1
49,male,group C,high school,standard,completed,married,sometimes,NA,3,NA,10-May,82,84,82,0,1
50,male,group E,some college,standard,none,married,NA,no,3,school_bus,> 10,54,55,48,0,1
51,male,NA,associate's degree,free/reduced,completed,married,regularly,no,2,private,< 5,76,68,68,0,1
52,male,group C,some college,standard,none,divorced,regularly,yes,3,school_bus,> 10,56,45,43,0,1
53,male,group D,high school,standard,none,single,sometimes,yes,2,school_bus,10-May,88,78,75,0,1
54,female,NA,some high school,free/reduced,completed,married,regularly,yes,NA,private,> 10,75,86,90,0,1
55,female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,private,10-May,33,41,43,0,1
