student_ID,Gender,EthnicGroup,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,MathScore,ReadingScore,School
0,female,NA,standard,none,married,regularly,71,71,1
1,female,group C,standard,NA,married,sometimes,69,90,1
2,female,group B,standard,none,single,sometimes,87,93,1
3,male,group A,free/reduced,none,married,never,45,56,1
4,male,group C,standard,none,married,sometimes,76,78,1
5,female,group B,standard,none,married,regularly,73,84,1
6,female,group B,standard,completed,widowed,never,85,93,1
7,male,group B,free/reduced,none,married,sometimes,41,43,1
8,male,group D,free/reduced,completed,single,sometimes,65,64,1
9,female,group B,free/reduced,none,married,regularly,37,59,1
10,male,group C,standard,none,NA,sometimes,58,54,1
11,male,group D,standard,none,divorced,sometimes,40,52,1
12,female,group B,standard,none,married,regularly,66,82,1
13,male,group A,standard,completed,single,sometimes,80,73,1
14,female,group A,standard,none,divorced,sometimes,48,53,1
15,female,group C,standard,none,married,sometimes,69,75,1
16,male,group C,standard,NA,married,sometimes,88,89,1
17,female,group B,free/reduced,none,divorced,sometimes,18,32,1
18,male,group C,free/reduced,completed,single,sometimes,46,42,1
19,female,group C,free/reduced,none,married,never,50,56,1
20,male,group D,standard,none,married,sometimes,66,69,1
21,female,group B,free/reduced,completed,married,sometimes,65,75,1
22,male,group D,standard,none,married,never,42,53,1
23,female,group C,standard,none,divorced,never,66,71,1
24,male,group D,free/reduced,completed,married,sometimes,74,71,1
25,male,group A,free/reduced,none,married,regularly,75,76,1
26,male,group B,standard,none,married,sometimes,66,53,1
27,female,group C,standard,none,married,sometimes,69,70,1
28,male,group C,standard,none,married,sometimes,70,70,1
30,female,group D,standard,none,single,sometimes,66,72,1
31,female,group B,standard,none,single,sometimes,63,65,1
32,female,group E,free/reduced,none,divorced,sometimes,56,73,1
33,male,NA,standard,none,married,sometimes,40,42,1
34,male,group E,standard,none,divorced,sometimes,97,87,1
35,male,group E,standard,completed,single,sometimes,81,81,1
36,female,group D,standard,none,married,regularly,76,82,1
37,female,group D,free/reduced,none,married,regularly,51,64,1
38,female,group D,free/reduced,completed,married,regularly,77,91,1
39,male,group B,free/reduced,none,single,regularly,58,56,1
40,male,group C,free/reduced,none,married,never,53,60,1
41,female,group C,standard,none,divorced,regularly,59,74,1
43,male,group B,free/reduced,NA,married,regularly,60,65,1
44,female,group E,free/reduced,none,married,sometimes,48,55,1
45,male,group B,standard,none,single,sometimes,63,53,1
47,female,group C,standard,none,married,regularly,67,72,1
49,male,group C,standard,completed,married,sometimes,82,84,1
50,male,group E,standard,none,married,NA,54,55,1
51,male,NA,free/reduced,completed,married,regularly,76,68,1
52,male,group C,standard,none,divorced,regularly,56,45,1
53,male,group D,standard,none,single,sometimes,88,78,1
54,female,NA,free/reduced,completed,married,regularly,75,86,1
55,female,group C,free/reduced,none,divorced,sometimes,33,41,1
56,female,group E,standard,completed,married,sometimes,84,86,1
57,male,group D,standard,none,single,sometimes,52,55,1
58,male,group D,standard,completed,married,regularly,61,60,1
59,female,group C,free/reduced,none,single,regularly,0,17,1
61,male,group A,free/reduced,none,married,sometimes,39,39,1
62,male,group A,free/reduced,none,married,sometimes,62,61,1
64,female,group D,standard,none,married,sometimes,59,58,1
65,male,group B,standard,none,married,never,63,62,1
66,male,group D,free/reduced,none,married,sometimes,45,37,1
67,female,group C,standard,none,married,regularly,61,73,1
68,male,group B,free/reduced,none,divorced,regularly,62,58,1
69,female,group C,standard,none,single,sometimes,39,64,1
71,male,group D,standard,completed,divorced,sometimes,64,55,1
72,female,group A,free/reduced,none,single,regularly,42,51,1
73,male,group C,free/reduced,none,divorced,never,59,56,1
74,male,group C,standard,NA,married,sometimes,47,48,1
75,male,group B,free/reduced,none,divorced,sometimes,44,41,1
76,male,group E,standard,none,NA,sometimes,28,25,1
77,male,group A,standard,completed,NA,regularly,82,79,1
78,female,group D,standard,completed,divorced,sometimes,62,75,1
79,female,group E,standard,none,divorced,never,60,68,1
80,female,group B,standard,none,married,regularly,49,50,1
81,male,group B,free/reduced,none,married,sometimes,49,45,1
82,male,group A,free/reduced,completed,married,sometimes,50,47,1
83,male,group E,standard,none,married,regularly,74,64,1
84,male,group D,free/reduced,none,married,never,40,38,1
85,female,group C,standard,none,divorced,sometimes,73,80,1
86,female,group C,free/reduced,none,married,sometimes,73,81,1
87,female,group D,standard,none,single,sometimes,71,71,1
88,female,group A,standard,none,divorced,regularly,57,69,1
89,female,group D,standard,none,single,sometimes,75,87,1
91,male,group C,free/reduced,none,divorced,regularly,27,34,1
92,male,group C,standard,none,divorced,sometimes,68,77,1
93,male,group C,free/reduced,completed,married,regularly,45,46,1
94,female,group B,standard,none,married,regularly,81,87,1
96,male,group B,standard,completed,married,regularly,63,65,1
97,female,NA,standard,completed,married,never,59,69,1
98,female,group D,free/reduced,none,single,regularly,61,69,1
99,female,group D,standard,none,married,regularly,64,66,1
100,male,group B,standard,none,married,sometimes,79,67,1
101,male,group D,standard,completed,single,sometimes,68,74,1
102,female,group D,standard,none,married,regularly,87,92,1
103,male,group B,standard,completed,married,regularly,61,44,1
104,male,NA,standard,completed,married,regularly,100,88,1
105,female,group C,standard,none,married,sometimes,58,67,1
106,female,group D,standard,none,married,sometimes,87,100,1
107,male,group E,standard,completed,single,sometimes,66,63,1
108,female,group B,free/reduced,none,married,sometimes,52,76,1
109,female,group B,standard,none,single,regularly,72,64,1
110,female,group D,free/reduced,completed,single,sometimes,79,90,1
111,male,group C,standard,none,single,regularly,63,55,1
112,male,group A,standard,none,married,sometimes,54,53,1
113,female,group D,standard,none,married,never,47,56,1
114,female,group E,standard,completed,married,regularly,98,99,1
115,male,group C,standard,none,married,sometimes,84,77,1
116,female,group B,free/reduced,none,single,never,72,83,1
117,female,group D,standard,none,married,never,75,80,1
118,female,group D,standard,none,single,regularly,54,64,1
119,female,group C,standard,none,divorced,sometimes,55,69,1
120,female,group C,standard,completed,married,never,76,90,1
121,male,group B,standard,completed,married,sometimes,88,87,1
122,female,group C,standard,completed,single,regularly,90,94,1
123,male,group D,free/reduced,none,married,sometimes,63,57,1
124,male,group E,standard,none,single,regularly,82,79,1
125,female,group B,standard,none,single,never,86,94,1
126,male,group B,standard,none,married,NA,72,68,1
127,male,group D,standard,NA,married,regularly,64,76,1
128,male,group D,standard,none,single,never,77,81,1
129,female,group A,standard,none,NA,regularly,52,49,1
130,male,group D,standard,none,single,sometimes,87,84,1
131,male,group C,free/reduced,completed,single,regularly,52,36,1
132,male,NA,free/reduced,completed,married,regularly,89,75,1
133,female,NA,standard,completed,married,never,70,78,1
134,male,group D,free/reduced,completed,married,sometimes,76,80,1
135,male,group C,standard,none,married,sometimes,56,54,1
136,male,group B,standard,completed,divorced,sometimes,51,54,1
137,male,group E,standard,none,divorced,sometimes,67,54,1
138,female,group C,standard,NA,married,sometimes,59,66,1
139,male,group D,standard,completed,married,sometimes,73,61,1
140,female,group D,standard,none,married,sometimes,76,72,1
141,female,group C,free/reduced,none,married,regularly,60,62,1
142,female,group E,free/reduced,completed,single,regularly,41,54,1
143,male,group A,standard,none,single,sometimes,57,43,1
144,male,group D,standard,none,divorced,sometimes,90,74,1
145,female,group C,free/reduced,none,single,regularly,21,38,1
148,female,group D,standard,completed,married,sometimes,65,73,1
149,male,group E,free/reduced,completed,married,regularly,100,100,1
150,male,group A,standard,completed,married,sometimes,62,67,1
152,female,group B,standard,completed,single,sometimes,57,68,1
153,male,group D,standard,none,married,sometimes,54,49,1
154,male,group D,standard,none,single,never,58,65,1
155,female,group C,standard,completed,married,regularly,69,88,1
156,female,group E,free/reduced,completed,married,regularly,67,75,1
157,male,group B,free/reduced,none,NA,sometimes,58,59,1
158,female,group B,standard,NA,divorced,regularly,62,87,1
159,male,group D,free/reduced,none,married,regularly,70,63,1
160,male,group B,free/reduced,completed,single,sometimes,82,78,1
161,female,group E,free/reduced,completed,married,sometimes,75,88,1
162,male,group B,free/reduced,none,single,never,48,53,1
163,male,group C,standard,none,divorced,sometimes,52,53,1
164,female,group E,standard,none,married,never,76,89,1
165,female,group C,standard,completed,married,sometimes,96,100,1
166,male,group C,free/reduced,completed,single,sometimes,53,51,1
167,female,group B,free/reduced,completed,married,regularly,62,79,1
168,female,group B,standard,completed,married,regularly,70,84,1
170,male,group A,standard,completed,divorced,regularly,76,75,1
171,male,group E,standard,none,married,sometimes,91,86,1
172,female,group D,standard,none,single,never,76,84,1
173,female,group C,standard,none,married,sometimes,63,67,1
174,female,group C,free/reduced,completed,married,sometimes,41,50,1
175,female,group C,standard,completed,divorced,sometimes,81,92,1
176,female,group B,free/reduced,completed,married,sometimes,44,53,1
177,female,group C,standard,completed,married,regularly,70,76,1
178,female,group B,free/reduced,completed,divorced,regularly,54,72,1
179,female,group D,standard,completed,divorced,regularly,99,100,1
180,male,group C,free/reduced,completed,single,sometimes,60,68,1
181,female,group C,free/reduced,none,single,sometimes,46,64,1
182,female,group E,standard,none,married,sometimes,50,50,1
183,female,group D,standard,none,single,sometimes,63,67,1
185,male,group C,free/reduced,completed,married,never,61,65,1
186,male,group E,standard,none,married,never,75,73,1
187,male,group D,standard,completed,married,sometimes,62,66,1
188,male,group B,free/reduced,none,married,regularly,47,51,1
189,female,group C,standard,none,single,sometimes,74,86,1
190,female,group E,standard,none,married,sometimes,66,65,1
191,male,group D,standard,completed,married,sometimes,73,81,1
192,female,group B,standard,none,single,sometimes,62,64,1
193,male,group D,standard,completed,married,regularly,79,62,1
194,female,group C,standard,completed,NA,regularly,69,85,1
195,male,group D,standard,none,married,regularly,60,54,1
196,male,group C,free/reduced,completed,married,never,57,67,1
197,male,group E,free/reduced,none,married,NA,56,56,1
198,female,group B,free/reduced,none,widowed,regularly,47,54,1
199,female,group B,free/reduced,NA,married,regularly,80,80,1
200,female,group C,standard,completed,single,regularly,66,83,1
201,female,group D,free/reduced,none,divorced,sometimes,63,79,1
202,male,group C,standard,none,married,sometimes,69,77,1
203,female,NA,standard,none,NA,regularly,58,70,1
204,male,group C,standard,none,single,regularly,58,40,1
205,male,group D,standard,completed,married,NA,71,69,1
206,male,group E,standard,none,married,regularly,84,62,1
207,male,group E,standard,completed,married,regularly,83,81,1
208,female,group B,free/reduced,none,married,regularly,73,80,1
209,female,group B,free/reduced,NA,single,sometimes,58,61,1
210,male,group D,free/reduced,completed,widowed,sometimes,77,77,1
211,male,group C,free/reduced,NA,married,sometimes,35,28,1
212,female,group C,free/reduced,none,divorced,sometimes,42,62,1
213,male,group C,free/reduced,completed,single,regularly,61,51,1
