student_ID,ParentEduc,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,WritingScore,School
0,bachelor's degree,yes,3,school_bus,< 5,74,1
1,some college,yes,0,NA,5 to 10,88,1
2,master's degree,yes,4,school_bus,< 5,91,1
3,associate's degree,no,1,NA,5 to 10,42,1
4,some college,yes,0,school_bus,5 to 10,75,1
5,associate's degree,yes,1,school_bus,5 to 10,79,1
6,some college,no,1,private,5 to 10,89,1
7,some college,yes,1,private,> 10,39,1
8,high school,no,3,private,> 10,68,1
9,high school,yes,NA,private,< 5,50,1
10,associate's degree,yes,1,private,5 to 10,52,1
11,associate's degree,yes,1,school_bus,5 to 10,43,1
12,high school,no,1,private,5 to 10,74,1
13,some college,yes,1,private,> 10,71,1
14,master's degree,yes,2,private,< 5,58,1
15,some high school,yes,0,private,NA,78,1
16,high school,yes,0,school_bus,5 to 10,86,1
17,some high school,yes,1,school_bus,5 to 10,28,1
18,master's degree,no,1,private,5 to 10,47,1
19,associate's degree,yes,3,private,< 5,58,1
20,high school,yes,5,school_bus,5 to 10,63,1
21,some college,no,2,school_bus,5 to 10,70,1
22,NA,yes,5,NA,5 to 10,51,1
23,some high school,no,3,NA,5 to 10,71,1
24,NA,yes,2,school_bus,5 to 10,80,1
25,master's degree,yes,1,school_bus,5 to 10,76,1
26,some college,yes,5,school_bus,< 5,53,1
27,bachelor's degree,yes,4,school_bus,> 10,76,1
28,high school,no,1,private,5 to 10,65,1
30,some college,yes,0,private,< 5,72,1
31,some college,yes,5,NA,5 to 10,61,1
32,master's degree,yes,1,school_bus,5 to 10,66,1
33,some college,no,2,private,5 to 10,38,1
34,some college,yes,0,school_bus,NA,82,1
35,associate's degree,no,NA,school_bus,5 to 10,79,1
36,associate's degree,no,2,private,5 to 10,85,1
37,some high school,yes,1,private,5 to 10,60,1
38,associate's degree,no,1,school_bus,5 to 10,90,1
39,associate's degree,yes,5,school_bus,5 to 10,58,1
40,associate's degree,yes,0,school_bus,5 to 10,52,1
41,associate's degree,no,1,NA,5 to 10,69,1
43,some college,yes,3,school_bus,5 to 10,67,1
